,sampleno,kyojuuchi,q1,q2,q3,q3_toshiruikei,q4_1,q4_2,q5_1,q5_2,q6_1,q6_3,q6_3_toshiruikei,q6_4,q6_5_dai,q6_5_shou,q6_6,q6_7,q6a,q6b,q6c,q6d,q7,q8,q9_1,q9_2,q9_3,q9_4,q9_5,q10,q11,q11sq1,q11sq2_1,q11sq2_2,q11sq2_3,q11sq2_4,q11sq2_5,q11sq2_6,q11sq2_7,q12,q13,q13sq1,q13sq2,q13sq3,q13sq4_1,q13sq4_2,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,q15_kigyou,q15_jigyousho,q15_1,q15_3,q15_3_toshiruikei,q15_4,q15_5_dai,q15_5_shou,q15_6,q15_7,q15_8,q15_9_1,q15_9_2,q15_10,q16_1_kigyou,q16_1_jigyousho,q16_1_1,q16_1_3,q16_1_3_toshiruikei,q16_1_4,q16_1_5_dai,q16_1_5_shou,q16_1_6,q16_1_7,q16_1_8,q16_1_9_1,q16_1_9_2,q16_1_10,q16_2_kigyou,q16_2_jigyousho,q16_2_1,q16_2_3,q16_2_3_toshiruikei,q16_2_4,q16_2_5_dai,q16_2_5_shou,q16_2_6,q16_2_7,q16_2_8,q16_2_9_1,q16_2_9_2,q16_2_10,q16_3_kigyou,q16_3_jigyousho,q16_3_1,q16_3_3,q16_3_3_toshiruikei,q16_3_4,q16_3_5_dai,q16_3_5_shou,q16_3_6,q16_3_7,q16_3_8,q16_3_9_1,q16_3_9_2,q16_3_10,q16_4_kigyou,q16_4_jigyousho,q16_4_1,q16_4_3,q16_4_3_toshiruikei,q16_4_4,q16_4_5_dai,q16_4_5_shou,q16_4_6,q16_4_7,q16_4_8,q16_4_9_1,q16_4_9_2,q16_4_10,q16_5_kigyou,q16_5_jigyousho,q16_5_1,q16_5_3,q16_5_3_toshiruikei,q16_5_4,q16_5_5_dai,q16_5_5_shou,q16_5_6,q16_5_7,q16_5_8,q16_5_9_1,q16_5_9_2,q16_5_10,q16_6_kigyou,q16_6_jigyousho,q16_6_1,q16_6_3,q16_6_3_toshiruikei,q16_6_4,q16_6_5_dai,q16_6_5_shou,q16_6_6,q16_6_7,q16_6_8,q16_6_9_1,q16_6_9_2,q16_6_10,q16_7_kigyou,q16_7_jigyousho,q16_7_1,q16_7_3,q16_7_3_toshiruikei,q16_7_4,q16_7_5_dai,q16_7_5_shou,q16_7_6,q16_7_7,q16_7_8,q16_7_9_1,q16_7_9_2,q16_7_10,q16_8_kigyou,q16_8_jigyousho,q16_8_1,q16_8_3,q16_8_3_toshiruikei,q16_8_4,q16_8_5_dai,q16_8_5_shou,q16_8_6,q16_8_7,q16_8_8,q16_8_9_1,q16_8_9_2,q16_8_10,q16_9_kigyou,q16_9_jigyousho,q16_9_1,q16_9_3,q16_9_3_toshiruikei,q16_9_4,q16_9_5_dai,q16_9_5_shou,q16_9_6,q16_9_7,q16_9_8,q16_9_9_1,q16_9_9_2,q16_9_10,q16_10_kigyou,q16_10_jigyousho,q16_10_1,q16_10_3,q16_10_3_toshiruikei,q16_10_4,q16_10_5_dai,q16_10_5_shou,q16_10_6,q16_10_7,q16_10_8,q16_10_9_1,q16_10_9_2,q16_10_10,q16_11_kigyou,q16_11_jigyousho,q16_11_1,q16_11_3,q16_11_3_toshiruikei,q16_11_4,q16_11_5_dai,q16_11_5_shou,q16_11_6,q16_11_7,q16_11_8,q16_11_9_1,q16_11_9_2,q16_11_10,q16_12_kigyou,q16_12_jigyousho,q16_12_1,q16_12_3,q16_12_3_toshiruikei,q16_12_4,q16_12_5_dai,q16_12_5_shou,q16_12_6,q16_12_7,q16_12_8,q16_12_9_1,q16_12_9_2,q16_12_10,q16_13_kigyou,q16_13_jigyousho,q16_13_1,q16_13_3,q16_13_3_toshiruikei,q16_13_4,q16_13_5_dai,q16_13_5_shou,q16_13_6,q16_13_7,q16_13_8,q16_13_9_1,q16_13_9_2,q16_13_10,q16_14_kigyou,q16_14_jigyousho,q16_14_1,q16_14_3,q16_14_3_toshiruikei,q16_14_4,q16_14_5_dai,q16_14_5_shou,q16_14_6,q16_14_7,q16_14_8,q16_14_9_1,q16_14_9_2,q16_14_10,q16_15_kigyou,q16_15_jigyousho,q16_15_1,q16_15_3,q16_15_3_toshiruikei,q16_15_4,q16_15_5_dai,q16_15_5_shou,q16_15_6,q16_15_7,q16_15_8,q16_15_9_1,q16_15_9_2,q16_15_10,q16_16_kigyou,q16_16_jigyousho,q16_16_1,q16_16_3,q16_16_3_toshiruikei,q16_16_4,q16_16_5_dai,q16_16_5_shou,q16_16_6,q16_16_7,q16_16_8,q16_16_9_1,q16_16_9_2,q16_16_10,q16_17_kigyou,q16_17_jigyousho,q16_17_1,q16_17_3,q16_17_3_toshiruikei,q16_17_4,q16_17_5_dai,q16_17_5_shou,q16_17_6,q16_17_7,q16_17_8,q16_17_9_1,q16_17_9_2,q16_17_10,q17_1,q17_2,q17_3,q18,q18sq1_1,q18sq1_2,q18sq1_3,q18sq1_4,q18sq1_5,q18sq1_6,q18sq1_7,q18sq2_1_1,q18sq2_1_2,q18sq2_1_3,q18sq2_1_4,q18sq2_1_5,q18sq2_1_7,q18sq2_2_1,q18sq2_2_2,q18sq2_2_3,q18sq2_2_4,q18sq2_2_5,q18sq2_2_7,q18sq2_3_1,q18sq2_3_2,q18sq2_3_3,q18sq2_3_4,q18sq2_3_5,q18sq2_3_7,q19,q19sq1_1,q19sq1_2,q19sq1_3,q19sq1_4,q19sq1_5,q19sq2_1,q19sq2_2,q19sq2_3,q19sq2_4,q19sq2_5,q19sq3_1,q19sq3_2,q19sq3_3,q19sq3_4,q19sq3_5,q20,q20sq2,q21,q22,q22sq1,q22sq2,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q24,q25,q25sq1,q25sq2,q25sq3,q26_1,q26_1sq1,q26_1sq2,q26_2,q26_3,q26_4,q26_5,q26_6_1,q26_6_2,q27,q28_1,q28_1sq1,q28_1sq2,q28_2,q28_3,q28_4,q28_5,q28_6_1,q28_6_2,q29,q29_1,q29_2,q29_3,q29_4,q30,q30_1_1,q30_1_3,q30_1_4_dai,q30_1_4_shou,q30_1_5,q30_1_6,q31,q32,q32_1,q33,q33_1
3905,3906,42,56,1,42,4,3,3,1,1,1,42,3,1,5,75,8,1,7,15,56,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,42,3,1,5,75,8,1,7,15,56,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,9,9,9,9,9,9,9,9,9,9,1,8,98,98,98,2,8,8,42,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,24,26,54,54,1,5,1,5,75,8,1,2,5,998,99,998
3906,3907,42,41,2,42,3,5,5,2,2,2,42,3,62,7,99,1,8,1,19,41,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,22,2,98,8,8,98,98,1,2,1,2,1,8,0,0,2,42,3,62,7,99,1,8,1,19,41,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,3,2,8,8,1,2,2,1,2,1,3,2,2,1,3,2,98,98,98,8,1,8,42,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,30,80,98,98,1,7,13,97,997,8,98,7,7,998,7,998
3907,3908,42,57,2,42,4,3,1,2,1,7,98,8,12,98,998,8,98,98,55,57,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,42,3,10,6,90,1,8,2,16,40,2,1,0,2,14,2,18,8,255,1,8,2,40,55,5,98,98,7,98,8,12,98,998,8,98,98,55,57,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,4,2,8,8,1,2,2,1,3,1,3,3,3,1,1,8,98,98,98,2,8,8,42,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,25,30,51,51,1,7,13,97,997,8,98,2,5,998,5,998
3908,3909,42,42,1,42,3,6,4,4,4,2,42,3,98,3,54,3,9,8,31,42,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,24,2,98,8,8,98,98,2,2,2,2,1,8,0,0,2,42,3,98,3,54,1,9,2,18,31,1,0,1,2,42,3,98,3,54,3,9,8,31,42,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,2,1,1,3,2,2,2,1,3,3,3,3,1,3,1,2,98,98,98,8,1,8,42,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,31,32,80,98,1,7,13,97,997,8,98,6,7,998,7,998
3909,3910,42,44,1,42,4,5,1,3,1,1,42,3,1,5,75,8,1,7,20,44,1,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,42,3,33,8,129,1,5,5,15,20,7,1,0,1,42,3,1,5,75,8,1,7,20,44,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,9,2,8,8,9,9,9,9,9,9,9,9,9,9,1,8,98,98,98,7,8,8,42,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,22,80,98,98,1,5,1,5,75,8,1,6,4,998,99,998
3910,3911,42,61,1,42,4,4,1,1,1,1,42,3,1,5,75,8,1,6,25,61,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,42,3,1,5,75,8,1,7,15,20,4,98,98,6,98,8,14,96,996,8,98,98,20,25,98,0,0,1,42,3,1,5,75,8,1,6,25,61,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,9,2,8,8,9,9,9,9,9,9,9,9,9,9,1,8,98,98,98,2,8,8,42,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,27,32,56,80,1,5,1,5,75,8,1,2,4,998,99,998
3911,3912,42,55,1,42,4,3,1,2,1,1,42,3,1,5,75,8,1,6,20,55,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,42,4,1,5,75,8,1,7,15,18,4,98,98,6,98,8,14,96,996,8,98,98,18,20,98,0,0,1,42,3,1,5,75,8,1,6,20,55,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,9,9,9,9,9,9,9,9,9,9,1,8,98,98,98,2,8,8,42,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,26,27,51,54,1,5,1,5,75,8,1,2,5,998,99,998
3912,3913,42,33,1,42,3,3,2,2,2,2,42,4,30,7,99,1,4,5,18,33,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,15,2,98,8,8,98,98,1,2,1,2,1,8,0,0,2,42,4,30,7,99,1,4,5,18,33,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,1,1,3,1,3,3,2,2,1,1,1,2,98,98,98,8,1,8,42,3,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,22,23,80,98,1,4,45,4,66,1,2,6,7,998,6,998
3913,3914,42,58,2,41,4,7,4,5,3,1,42,3,82,8,137,8,99,7,35,58,2,1,3,3,2,2,3,9,4,1,1,0,0,0,0,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,40,3,38,8,129,1,9,1,15,22,14,98,98,7,98,8,12,98,998,8,98,98,22,24,98,1,0,2,41,3,82,8,137,1,5,1,24,35,14,2,0,1,42,3,82,8,137,8,99,7,35,58,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,2,2,2,1,2,2,3,2,1,3,1,8,98,98,98,2,8,8,41,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,24,26,46,80,1,7,13,97,997,8,98,2,99,998,99,998
3914,3915,42,37,1,42,3,2,1,1,1,2,42,3,33,8,129,1,5,1,21,37,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,15,2,98,8,8,98,98,2,2,9,2,9,1,0,0,2,21,3,34,8,129,1,4,1,15,21,7,1,0,2,42,3,33,8,129,1,5,1,21,37,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,3,2,8,8,2,1,1,1,3,1,3,3,1,3,1,2,98,98,98,7,8,8,42,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,25,26,80,98,1,7,13,97,997,8,98,6,6,998,6,998
3915,3916,42,50,2,41,4,1,1,1,1,7,98,8,12,98,998,8,98,98,44,50,3,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,42,3,10,6,94,1,7,2,15,23,2,1,0,2,41,3,10,6,90,1,6,1,23,24,2,2,0,2,42,3,10,6,90,1,6,1,24,33,11,3,0,2,42,3,22,8,170,1,5,1,33,44,6,98,98,7,98,8,12,98,998,8,98,98,44,50,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,4,2,8,8,2,2,2,1,3,2,3,3,1,2,3,8,98,98,98,2,8,8,41,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,29,36,80,98,1,7,13,97,997,8,98,2,3,998,3,998
3916,3917,42,33,1,42,3,2,1,2,1,1,42,3,87,1,8,8,1,7,28,33,2,1,1,2,1,3,9,1,2,2,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,40,1,15,3,54,1,8,3,23,27,13,1,0,2,42,3,47,4,70,1,5,5,27,28,14,2,0,1,42,3,87,1,8,8,1,7,28,33,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,1,5,3,1,1,1,3,3,1,2,1,1,1,1,8,98,98,98,10,8,4,42,3,1,1,18,22,2,98,8,8,98,8,8,8,98,98,1,25,27,80,98,1,7,13,97,997,8,98,8,7,998,7,998
3917,3918,42,51,1,42,4,6,3,3,1,1,42,4,45,4,63,8,2,8,99,51,0,2,1,2,2,2,2,2,1,1,2,0,0,0,1,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,5,42,4,45,4,66,8,1,7,20,99,1,0,0,1,42,4,45,4,63,8,2,8,99,51,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,2,2,2,2,2,2,2,2,2,2,2,8,98,98,98,1,8,8,42,2,1,1,6,12,2,98,8,8,98,8,8,8,98,98,1,30,32,80,98,1,5,45,3,55,8,1,2,7,998,1,998
3918,3919,42,58,1,42,4,3,2,2,1,1,42,4,1,5,75,8,1,7,20,58,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,42,4,1,5,75,8,1,7,20,58,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,2,1,2,1,2,2,2,2,2,2,2,8,98,98,98,1,8,8,42,2,1,1,6,12,2,98,8,8,98,8,8,8,98,98,1,23,24,46,52,1,7,13,97,997,8,98,2,9,998,9,998
3919,3920,42,47,2,42,3,6,5,3,2,1,42,4,77,10,269,8,2,8,28,47,0,3,1,2,2,2,2,2,2,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,5,42,3,77,10,269,8,2,7,18,28,1,0,0,1,42,4,77,10,269,8,2,8,28,47,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,8,1,0,0,0,1,0,0,0,3,4,2,18,1,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,3,1,3,1,2,1,1,1,3,1,2,1,2,2,1,8,98,98,98,8,1,8,42,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,29,30,80,98,1,1,77,10,270,8,2,6,9,998,7,998
3920,3921,42,30,1,42,4,2,1,1,1,2,42,2,23,8,228,1,4,3,18,30,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,12,2,98,8,8,98,98,1,2,2,2,1,8,0,0,2,42,2,23,8,228,1,4,3,18,30,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,1,2,2,1,2,2,2,2,2,2,1,1,25,3,2,8,1,8,42,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,30,80,98,98,1,7,13,97,997,8,98,7,5,998,5,998
3921,3922,42,46,2,42,4,9,4,7,4,1,42,4,18,8,203,8,1,7,30,46,1,1,1,2,2,2,2,2,4,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,42,2,45,8,203,1,2,1,15,30,14,1,0,1,42,4,18,8,203,8,1,7,30,46,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,1,5,3,3,1,1,1,3,1,2,1,1,1,1,8,98,98,98,7,8,8,42,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,23,25,43,80,1,5,18,8,203,8,1,6,5,998,5,998
3922,3923,42,64,2,42,4,10,2,5,1,1,42,4,45,8,203,8,1,7,25,64,0,3,1,9,9,9,9,9,1,2,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,42,4,45,8,203,8,1,7,25,64,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,3,3,1,2,3,2,2,2,2,2,1,8,98,98,98,1,8,8,42,2,1,1,6,12,2,98,8,8,98,8,8,8,98,98,1,28,30,55,60,1,7,13,97,997,8,98,2,3,998,3,998
